region,linear_r_squared,linear_adjusted_r_squared,linear_aic,linear_bic,n_obs,ekc_r_squared,ekc_adjusted_r_squared,ekc_aic,ekc_bic,within_sample_ekc_candidate,delta_adjusted_r_squared,delta_aic_ekc_minus_linear,delta_bic_ekc_minus_linear
Europe_NorthAmerica,0.7255378866049356,0.7172208528656911,-97.47956107018823,-94.3688649472094,35,0.8458173899582853,0.836180976830678,-115.66320537552778,-110.99716119105955,True,0.1189601239649869,-18.183644305339556,-16.628296243850144
DevelopedAsia_Oceania,0.07638277597025411,0.04839437524208001,-93.88319546422056,-90.77249934124174,35,0.751629563400603,0.7361064111131408,-137.8513694092094,-133.18532522474118,True,0.6877120358710608,-43.96817394498885,-42.41282588349944
China,0.9709964299082773,0.9701175338448917,-67.07500013158125,-63.96430400860242,35,0.9711588356145248,0.9693562628404325,-65.27153365207255,-60.60548946760431,False,-0.0007612710044592186,1.8034664795086996,3.358814540998111
India,0.9877939944964148,0.9874241155417607,-124.44700430096259,-121.33630817798377,35,0.9884928992915091,0.9877737054972284,-124.51073685569767,-119.84469267122944,False,0.00034958995546774396,-0.06373255473508266,1.4916155067543286
Global_South,0.9833635673535033,0.9828594330308822,-190.79786874197399,-187.68717261899516,35,0.9954464316480118,0.9951618336260126,-234.1468034710889,-229.48075928662067,False,0.012302400595130436,-43.348934729114916,-41.793586667625505
