region,beta_log_gdp,std_error,ci95_low,ci95_high,p_value,r_squared,adjusted_r_squared,aic,bic,n_obs,first_year,last_year,covariance
Europe_NorthAmerica,-0.5392857633465524,0.07810825569896608,-0.6981982044231834,-0.3803733222699215,6.920631156369574e-08,0.7255378866049356,0.7172208528656911,-97.47956107018823,-94.3688649472094,35,1990,2024,HAC(2) + small-sample correction + t inference
DevelopedAsia_Oceania,0.11168421528662308,0.12683467972883725,-0.14636288086878374,0.3697313114420299,0.3849298217207736,0.07638277597025411,0.04839437524208001,-93.88319546422056,-90.77249934124174,35,1990,2024,HAC(2) + small-sample correction + t inference
China,0.6213372268458376,0.024513414310488785,0.5714643104384346,0.6712101432532406,3.286280741801147e-23,0.9709964299082773,0.9701175338448917,-67.07500013158125,-63.96430400860242,35,1990,2024,HAC(2) + small-sample correction + t inference
India,0.746816670460413,0.017037320495893276,0.712153981283971,0.781479359636855,7.879752181840325e-31,0.9877939944964148,0.9874241155417607,-124.44700430096259,-121.33630817798377,35,1990,2024,HAC(2) + small-sample correction + t inference
Global_South,0.6868161596185004,0.024368483755107966,0.6372381066430876,0.7363942125939132,1.1511536880147928e-24,0.9833635673535033,0.9828594330308822,-190.79786874197399,-187.68717261899516,35,1990,2024,HAC(2) + small-sample correction + t inference
