region,beta_dlog_gdp,std_error,ci95_low,ci95_high,p_value,r_squared,adjusted_r_squared,aic,bic,n_obs,first_difference_start_year,last_year,covariance
Europe_NorthAmerica,1.256391198314551,0.09785016963425976,1.0570769251233003,1.4557054715058018,3.612220307978436e-14,0.7161033402135901,0.7072315695952648,-185.70353884791626,-182.65081779868393,34,1991,2024,HAC(1) + small-sample correction + t inference
DevelopedAsia_Oceania,1.0644686131286518,0.13899511451080013,0.7813448298035481,1.3475923964537555,9.961544696890162e-09,0.4697301045477672,0.45315917031488495,-170.63605605427006,-167.58333500503772,34,1991,2024,HAC(1) + small-sample correction + t inference
China,1.0178427904110212,0.25039115775366744,0.5078126922749978,1.5278728885470447,0.00029165827670391367,0.33701744801955147,0.31629924327016246,-129.3581269266684,-126.30540587743609,34,1991,2024,HAC(1) + small-sample correction + t inference
India,0.7245554066282075,0.255985888439725,0.20312921501007408,1.245981598246341,0.007966447873483449,0.4048523404633718,0.38625397610285217,-150.97382745939325,-147.92110641016092,34,1991,2024,HAC(1) + small-sample correction + t inference
Global_South,0.7996588522862415,0.046610741149316695,0.7047158794758105,0.8946018250966724,1.0736193546218454e-17,0.8286977082164224,0.8233445115981857,-235.30180281225228,-232.24908176301994,34,1991,2024,HAC(1) + small-sample correction + t inference
