region,beta1_log_gdp,beta1_std_error,beta1_ci95_low,beta1_ci95_high,beta1_p_value,beta2_log_gdp_sq,beta2_std_error,beta2_ci95_low,beta2_ci95_high,beta2_p_value,r_squared,adjusted_r_squared,aic,bic,n_obs,observed_min_gdp,observed_max_gdp,elasticity_at_min_gdp,elasticity_at_max_gdp,turning_point_log_gdp,turning_point_gdp,turning_point_inside_sample,turning_point_position_pct_of_log_income_range,n_obs_below_turning_point,n_obs_above_turning_point,share_obs_below_turning_point,share_obs_above_turning_point,ekc_sign_pattern,within_sample_ekc_candidate,covariance
Europe_NorthAmerica,28.12820905182124,6.495190744344747,14.897938452531992,41.358479651110486,0.00013718897703305952,-1.386691202670805,0.3128521003509409,-2.023950077447162,-0.7494323278944478,0.00010250837501037,0.8458173899582853,0.836180976830678,-115.66320537552778,-110.99716119105955,35,23679.55660389266,41680.12332734877,0.19368262346563014,-1.3744218207108965,10.142203613048654,25392.359814361647,True,12.35138540579428,6,29,0.17142857142857143,0.8285714285714286,True,True,HAC(2) + small-sample correction + t inference
DevelopedAsia_Oceania,51.16488988904472,6.9784614960363385,36.950228981715846,65.37955079637361,2.4562186001209065e-08,-2.459415521645814,0.33719327786945563,-3.146255752528715,-1.7725752907629129,2.7306862043898707e-08,0.751629563400603,0.7361064111131408,-137.8513694092094,-133.18532522474118,35,24693.032322461528,41412.735394228934,1.4144731984681513,-1.1288936855576566,10.4018392660232,32920.1188819785,True,55.61420207804343,17,18,0.4857142857142857,0.5142857142857142,True,True,HAC(2) + small-sample correction + t inference
China,0.8164660756638551,0.7193224862727379,-0.6487458813257057,2.281678032653416,0.2647855400406124,-0.01187351613942838,0.043782155831812636,-0.10105484920181365,0.0773078169229569,0.7879826273868688,0.9711588356145248,0.9693562628404325,-65.27153365207255,-60.60548946760431,35,917.270661782581,13121.6769905565,0.6544780082011726,0.5912962199065466,34.38181521279179,854737237262176.5,False,1035.8649634119952,35,0,1.0,0.0,True,False,HAC(2) + small-sample correction + t inference
India,1.4647813013794675,0.7037868831093507,0.03121433248417449,2.8983482702747603,0.045492414262226846,-0.05131168175028298,0.050070436771520836,-0.1533018239318045,0.050678460431238546,0.3131471691710205,0.9884928992915091,0.9877737054972284,-124.51073685569767,-119.84469267122944,35,531.898397841583,2396.94999213544,0.8206706360450532,0.6661711744120417,14.273370618683623,1580687.7872715073,False,531.1802561451142,35,0,1.0,0.0,True,False,HAC(2) + small-sample correction + t inference
Global_South,11.725948674582991,1.1496488571284635,9.384190584227225,14.067706764938757,1.3948261204867727e-11,-0.6751216277850596,0.07001372602728087,-0.8177349208299083,-0.5325083347402109,5.479681803575575e-11,0.9954464316480118,0.9951618336260126,-234.1468034710889,-229.48075928662067,35,2790.0211414153687,4642.079867901355,1.0133827217785587,0.32595586835900825,8.68432308490361,5909.538887304994,False,147.41680758288186,35,0,1.0,0.0,True,False,HAC(2) + small-sample correction + t inference
