indicator,indicator_display,n_obs,n_economies,first_year,last_year,mean,std,median,p25,p75,minimum,maximum,between_economy_sd_of_means,within_economy_sd,economies_with_zero_within_variation
government_effectiveness,Government Effectiveness,4870,193,1996,2024,50.93973615281314,19.082881704419815,48.5697154,36.511190375,64.24309902499999,5.7519961,96.9403201,18.376258020704103,4.976742463425147,0
regulatory_quality,Regulatory Quality,4873,193,1996,2024,54.61541084235584,15.434939112566285,52.5809102,43.2168989,66.1639122,8.3901671,90.503504,14.999343998430987,3.780811033170683,0
rule_of_law,Rule of Law,4935,194,1996,2024,56.240730655015206,16.965946957179526,53.5838897,43.10956415,70.0673668,13.7996056,93.2612748,16.7059956937328,3.5534543505514855,0
