indicator,indicator_display,sample,governance_percentile,governance_score,governance_centered_10pt_units,marginal_gdp_elasticity,std_error,ci95_low,ci95_high,p_value
government_effectiveness,Government Effectiveness,Main available governance sample,P25,36.511190375,-1.4428545777813142,0.6259489751696784,0.08140191202819168,0.46539212949912323,0.7865058208402336,7.471603745796161e-13
government_effectiveness,Government Effectiveness,Main available governance sample,P50,48.5697154,-0.237002075281314,0.5741509262369887,0.07926221023543693,0.4178144208749186,0.7304874315990588,1.0306717294210033e-11
government_effectiveness,Government Effectiveness,Main available governance sample,P75,64.24309902499999,1.3303362872186852,0.5068250559281888,0.08141151761929795,0.3462492642234387,0.6674008476329389,2.9566858807074155e-09
government_effectiveness,Government Effectiveness,Common complete-case governance sample,P25,36.511190375,-1.4428545777813142,0.6259489751696784,0.08140191202819168,0.46539212949912323,0.7865058208402336,7.471603745796161e-13
government_effectiveness,Government Effectiveness,Common complete-case governance sample,P50,48.5697154,-0.237002075281314,0.5741509262369887,0.07926221023543693,0.4178144208749186,0.7304874315990588,1.0306717294210033e-11
government_effectiveness,Government Effectiveness,Common complete-case governance sample,P75,64.24309902499999,1.3303362872186852,0.5068250559281888,0.08141151761929795,0.3462492642234387,0.6674008476329389,2.9566858807074155e-09
government_effectiveness,Government Effectiveness,Annual governance era 2002-2024,P25,37.03156,-1.4186136330091947,0.6541667260610895,0.08535459846680257,0.4858136155277587,0.8225198365944203,8.700273795433648e-13
government_effectiveness,Government Effectiveness,Annual governance era 2002-2024,P50,48.925739300000004,-0.2291957030091943,0.60213340225871,0.08280719269034743,0.4388047859408092,0.7654620185766109,8.771239531952968e-12
government_effectiveness,Government Effectiveness,Annual governance era 2002-2024,P75,64.42301649999999,1.3205320169908041,0.5343376492047072,0.0848969172532709,0.366887267491086,0.7017880309183283,2.0532659095503935e-09
government_effectiveness,Government Effectiveness,Balanced annual governance era 2002-2024,P25,37.002019225,-1.441371419829924,0.6200112088779848,0.09229260097881377,0.43781634399458647,0.8022060737613831,2.695210884610093e-10
government_effectiveness,Government Effectiveness,Balanced annual governance era 2002-2024,P50,49.010418,-0.24053154232992355,0.566137749536473,0.08820280567074221,0.3920165514004871,0.7402589476724589,1.335434914041839e-09
government_effectiveness,Government Effectiveness,Balanced annual governance era 2002-2024,P75,64.516405175,1.3100671751700765,0.49657300695301687,0.08919768729944921,0.32048781254869674,0.672658201357337,1.0001612533118413e-07
regulatory_quality,Regulatory Quality,Main available governance sample,P25,43.2168989,-1.1398511942355847,0.6424203104464699,0.08238348565347793,0.47992741240143494,0.8049132084915047,3.902955385320728e-13
regulatory_quality,Regulatory Quality,Main available governance sample,P50,52.5809102,-0.20345006423558445,0.5988601757549541,0.08104292399891193,0.4390113968137736,0.7587089546961345,4.411171471099336e-12
regulatory_quality,Regulatory Quality,Main available governance sample,P75,66.1639122,1.1548501357644156,0.5356738576612192,0.08352825160251517,0.37092302727492893,0.7004246880475096,1.082611340011502e-09
regulatory_quality,Regulatory Quality,Common complete-case governance sample,P25,43.214375825,-1.14040662387577,0.6342275045389453,0.08194247241605912,0.4726044594560177,0.7958505496218728,5.529507091099674e-13
regulatory_quality,Regulatory Quality,Common complete-case governance sample,P50,52.58553595,-0.2032906113757697,0.5907569502399994,0.08060809918607514,0.43176581823399396,0.7497480822460049,6.28718614511506e-12
regulatory_quality,Regulatory Quality,Common complete-case governance sample,P75,66.169367475,1.1550925411242303,0.5277448281527947,0.08309072849036941,0.3638569668177689,0.6916326894878204,1.509176088779184e-09
regulatory_quality,Regulatory Quality,Annual governance era 2002-2024,P25,43.37068755,-1.1563594452942532,0.6563395245024243,0.08925516988355293,0.4802929405925802,0.8323861084122683,5.441429445736955e-12
regulatory_quality,Regulatory Quality,Annual governance era 2002-2024,P50,52.83633385,-0.20979481529425287,0.6143224756307453,0.08760296717077991,0.4415346905545121,0.7871102607069784,3.885771957962772e-11
regulatory_quality,Regulatory Quality,Annual governance era 2002-2024,P75,66.48882115,1.1554539147057477,0.5537204619991903,0.09151688261581252,0.3732128838318801,0.7342280401665006,7.4222628887531284e-09
regulatory_quality,Regulatory Quality,Balanced annual governance era 2002-2024,P25,43.725569750000005,-1.151068621841432,0.6252247745557609,0.09682064599006726,0.4340910939898285,0.8163584551216932,1.0867635213185007e-09
regulatory_quality,Regulatory Quality,Balanced annual governance era 2002-2024,P50,53.15579975,-0.20804562184143266,0.597397427880916,0.09411880318243163,0.4115974564103244,0.7831973993515076,1.94367974179326e-09
regulatory_quality,Regulatory Quality,Balanced annual governance era 2002-2024,P75,66.8308252,1.159456923158568,0.5570442579174606,0.09621796047197,0.36710033910244166,0.7469881767324795,3.360234993023736e-08
rule_of_law,Rule of Law,Main available governance sample,P25,43.10956415,-1.3131166505015208,0.6398743240433623,0.08140387489603661,0.47931888305361864,0.800429765033106,2.6282241446170266e-13
rule_of_law,Rule of Law,Main available governance sample,P50,53.5838897,-0.26568409550152056,0.6038937692025631,0.07723188501255011,0.4515668760111078,0.7562206623940184,3.371944421597363e-13
rule_of_law,Rule of Law,Main available governance sample,P75,70.0673668,1.3826636144984796,0.5472710636228604,0.0807633108857166,0.38797902732104383,0.7065630999246769,1.4561491084449493e-10
rule_of_law,Rule of Law,Common complete-case governance sample,P25,42.975997425,-1.306551350087269,0.6417149923012837,0.08122025444666603,0.4815164474071501,0.8019135371954174,2.0962236202742884e-13
rule_of_law,Rule of Law,Common complete-case governance sample,P50,53.37450605,-0.2667004875872692,0.6020341244977538,0.07637388211130279,0.45139454739348595,0.7526737016020217,2.340269468269107e-13
rule_of_law,Rule of Law,Common complete-case governance sample,P75,69.52915845,1.3487647524127304,0.5403877240942175,0.0785648276442309,0.38542673370814484,0.6953487144802902,8.312176631043551e-11
rule_of_law,Rule of Law,Annual governance era 2002-2024,P25,43.1825444,-1.3035840640196306,0.6598478395437828,0.08696133128609304,0.4883312512790926,0.831364427808473,1.3475278990546554e-12
rule_of_law,Rule of Law,Annual governance era 2002-2024,P50,53.4566149,-0.27617701401963046,0.6173155877946674,0.08189863225803701,0.4557843211880186,0.7788468544013163,1.8157103928897125e-12
rule_of_law,Rule of Law,Annual governance era 2002-2024,P75,69.9512118,1.3732826759803693,0.5490318099238637,0.08564248537585996,0.38011642322341627,0.7179471966243112,1.0863328264529022e-09
rule_of_law,Rule of Law,Balanced annual governance era 2002-2024,P25,43.301839975,-1.269939688579629,0.6387345578657694,0.09437048883299003,0.45249843706077764,0.8249706786707611,1.8414956782357875e-10
rule_of_law,Rule of Law,Balanced annual governance era 2002-2024,P50,53.1023919,-0.2898844960796289,0.6069477338427565,0.08727137107096204,0.4347214181101713,0.7791740495753416,6.57189564629471e-11
rule_of_law,Rule of Law,Balanced annual governance era 2002-2024,P75,68.79055034999999,1.27893134892037,0.556065218683255,0.08733699466461109,0.3837093975971889,0.728421039769321,1.6071438730200837e-09
