period,start_year,end_year,scope,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,mean_annualized_gdp_growth_pct_during_expansions,median_annualized_gdp_growth_pct_during_expansions,mean_annualized_co2_growth_pct_during_expansions,median_annualized_co2_growth_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling,total_main_sample_economies,endpoint_coverage_pct
1990-2004,1990,2004,All economies,187,146,36,52,58,88,0.7807486631016043,0.2465753424657534,0.3561643835616438,0.3972602739726027,0.6027397260273972,59.10682643586894,30.765094442303045,445.6775669127335,25.211691039809878,2.5012875873718174,1.9344073708396747,2.5447389998442875,1.618781646313161,0.10649969449153084,0.6247711309253533,0.2687291745831158,0.7312708254168842,197,94.9238578680203
1990-2024,1990,2024,All economies,180,163,68,42,53,110,0.9055555555555556,0.4171779141104294,0.25766871165644173,0.32515337423312884,0.6748466257668712,128.91562441240285,80.13487694632883,148.97886871872822,31.116230473166695,2.0038864682552724,1.7460557595349258,1.1254819114886885,0.7999888268628297,0.249194548260864,0.5931261363249644,0.1576793154141716,0.8423206845858284,197,91.37055837563452
2005-2014,2005,2014,All economies,192,162,57,54,51,111,0.84375,0.35185185185185186,0.3333333333333333,0.3148148148148148,0.6851851851851852,29.046554889406902,26.100086980950877,21.76933505274425,11.552039449604312,2.715166796787875,2.6102136774477036,1.6701702274714203,1.2220643977438939,0.20581863757412386,0.4464118931680445,0.3477694692578316,0.6522305307421684,197,97.46192893401016
2015-2024,2015,2024,All economies,183,151,75,36,40,111,0.825136612021858,0.4966887417218543,0.23841059602649006,0.26490066225165565,0.7350993377483444,23.70520953603319,16.46290246060811,8.664687971539049,0.007444632121544892,2.1512759647883533,1.707780900144873,0.5294281964069767,0.000827153978955053,0.30486909578361815,0.5392723308374269,0.15585857337895498,0.844141426621045,197,92.89340101522842
