iso3c,country,region,region_display,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling,dominant_expansion_classification
HKG,"Hong Kong SAR, China",DevelopedAsia_Oceania,Developed Asia & Oceania,34,27,13,6,8,19,0.7941176470588235,0.48148148148148145,0.2222222222222222,0.2962962962962963,0.7037037037037037,3.628802965356389,3.259967927287799,-0.1416245328908212,0.4916606747516816,0.48119443817452046,0.2272215019731926,0.2915840598522869,0.708415940147713,Absolute decoupling
HND,Honduras,Global_South,Global South,34,31,11,7,13,18,0.9117647058823529,0.3548387096774194,0.22580645161290322,0.41935483870967744,0.5806451612903226,6.4953653200053285,2.921072783268497,3.312986803461091,2.5264970555763933,0.3608116131839749,0.2043422021193921,0.43484618469663294,0.5651538153033671,Coupled expansion
HRV,Croatia,Europe_NorthAmerica,Europe & North America,34,26,9,11,6,20,0.7647058823529411,0.34615384615384615,0.4230769230769231,0.23076923076923078,0.7692307692307693,4.728352874927413,4.432791428882188,1.852776893394681,2.3319328478534462,0.34699793743477525,0.41841162102828316,0.23459044153694159,0.7654095584630584,Relative decoupling
HTI,Haiti,Global_South,Global South,34,17,6,1,10,7,0.5,0.35294117647058826,0.058823529411764705,0.5882352941176471,0.4117647058823529,1.9412917891121984,1.3544314101925137,13.332350616775772,0.9818388222672558,0.37365798363501374,0.0573757454521971,0.5689662709127892,0.4310337290872108,Coupled expansion
HUN,Hungary,Europe_NorthAmerica,Europe & North America,34,27,13,9,5,22,0.7941176470588235,0.48148148148148145,0.3333333333333333,0.18518518518518517,0.8148148148148148,3.5364793211885717,4.090022567171636,0.08435296788325612,0.07690008225946787,0.4837408677646724,0.3311747559973345,0.1850843762379931,0.8149156237620069,Absolute decoupling
IDN,Indonesia,Global_South,Global South,34,31,6,8,17,14,0.9117647058823529,0.1935483870967742,0.25806451612903225,0.5483870967741935,0.45161290322580644,4.2241324715180895,4.167530010196385,4.095935551859492,4.350459846193844,0.1975409445516869,0.24088420166392324,0.5615748537843899,0.43842514621561013,Coupled expansion
IND,India,India,India,34,32,2,22,8,24,0.9411764705882353,0.0625,0.6875,0.25,0.75,5.061063788371689,5.490562193994464,3.782646140622966,3.9224509648371875,0.06474176467171595,0.6703172570723538,0.2649409782559302,0.7350590217440698,Relative decoupling
IRL,Ireland,Europe_NorthAmerica,Europe & North America,34,29,16,13,0,29,0.8529411764705882,0.5517241379310345,0.4482758620689655,0.0,1.0,5.682341675874678,4.853457513575399,-0.6241661801147176,-1.0044123221955026,0.5895418381046198,0.4104581618953802,0.0,1.0,Absolute decoupling
IRN,"Iran, Islamic Rep.",Global_South,Global South,34,25,3,13,9,16,0.7352941176470589,0.12,0.52,0.36,0.64,3.430257416360418,3.1070265605889658,3.00523966729603,2.694135157052191,0.12488890237455565,0.5268262494427609,0.3482848481826834,0.6517151518173167,Relative decoupling
IRQ,Iraq,Global_South,Global South,34,19,5,4,10,9,0.5588235294117647,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.47368421052631576,12.461917432332797,7.533083149501296,5.120604170119371,5.904842660181608,0.22371524895388448,0.21410965012475436,0.5621751009213611,0.4378248990786388,Coupled expansion
ISL,Iceland,Europe_NorthAmerica,Europe & North America,34,24,10,9,5,19,0.7058823529411765,0.4166666666666667,0.375,0.20833333333333334,0.7916666666666666,3.2026922417851313,2.967280978926623,0.06694855518842065,1.044251808825536,0.43304281721325016,0.36977051958527357,0.1971866632014763,0.8028133367985237,Absolute decoupling
ISR,Israel,DevelopedAsia_Oceania,Developed Asia & Oceania,34,27,12,9,6,21,0.7941176470588235,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.7777777777777778,2.7791272300459493,2.4319477135744894,-0.00361743408163989,0.7088341943434884,0.4730322821899443,0.318200607972583,0.2087671098374727,0.7912328901625273,Absolute decoupling
ITA,Italy,Europe_NorthAmerica,Europe & North America,34,26,15,4,7,19,0.7647058823529411,0.5769230769230769,0.15384615384615385,0.2692307692307692,0.7307692307692307,1.7911162941457763,1.3550605476207234,0.2852736395577687,-0.36995721825487937,0.5791414011691435,0.15171744270847465,0.2691411561223818,0.7308588438776181,Absolute decoupling
JAM,Jamaica,Global_South,Global South,34,25,12,4,9,16,0.7352941176470589,0.48,0.16,0.36,0.64,2.012357702179172,1.32934397119846,2.821748180068163,0.13354615599188158,0.48023710945631043,0.15730699934420675,0.36245589119948285,0.6375441088005172,Absolute decoupling
JOR,Jordan,Global_South,Global South,34,24,10,5,9,15,0.7058823529411765,0.4166666666666667,0.20833333333333334,0.375,0.625,2.1981484092931374,1.6261437040492988,1.6280205078695023,0.6765187724807498,0.39747290961962856,0.18083961588517294,0.4216874744951985,0.5783125255048015,Absolute decoupling
JPN,Japan,DevelopedAsia_Oceania,Developed Asia & Oceania,34,26,12,9,5,21,0.7647058823529411,0.46153846153846156,0.34615384615384615,0.19230769230769232,0.8076923076923077,1.6014734006143754,1.463907103602935,0.07118198342135035,0.22763459578067913,0.4616064855371819,0.3448550069158139,0.1935385075470042,0.8064614924529958,Absolute decoupling
KAZ,Kazakhstan,Global_South,Global South,34,26,9,7,10,16,0.7647058823529411,0.34615384615384615,0.2692307692307692,0.38461538461538464,0.6153846153846154,5.051644042315601,3.818447774938638,1.2363924709201077,2.6326136997816163,0.3435253668508234,0.27791100744810265,0.37856362570107394,0.6214363742989261,Coupled expansion
KEN,Kenya,Global_South,Global South,34,23,7,2,14,9,0.6764705882352942,0.30434782608695654,0.08695652173913043,0.6086956521739131,0.391304347826087,2.441723952922392,2.5921835334222543,3.062174635026636,4.994355247461479,0.33206154853610687,0.09860095768615937,0.5693374937777338,0.43066250622226626,Coupled expansion
KGZ,Kyrgyz Republic,Global_South,Global South,34,24,13,3,8,16,0.7058823529411765,0.5416666666666666,0.125,0.3333333333333333,0.6666666666666666,4.364824300301406,4.261431408906335,1.0098868663527159,-1.6904432332133845,0.5400213502560911,0.13958999086670493,0.32038865887720397,0.6796113411227961,Absolute decoupling
