region,region_display,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling
China,China,34,34,5,26,3,31,1.0,0.14705882352941177,0.7647058823529411,0.08823529411764706,0.9117647058823529,8.170427353905861,8.02725691487135,4.531930962420596,4.110331635082032,0.14904696790511873,0.7638122947243295,0.08714073737055171,0.9128592626294483
DevelopedAsia_Oceania,Developed Asia & Oceania,272,218,97,77,44,174,0.8014705882352942,0.44495412844036697,0.3532110091743119,0.2018348623853211,0.7981651376146789,3.979263198594639,2.7316709092113256,0.418354115823533,0.4954421515008467,0.42270204283212004,0.4064148552263131,0.17088310194156686,0.8291168980584331
Europe_NorthAmerica,Europe & North America,1443,1109,544,305,260,849,0.7685377685377686,0.4905320108205591,0.2750225428313796,0.2344454463480613,0.7655545536519387,3.743303850031563,3.089053132024211,38.980930770794636,0.17933855980807323,0.5199879699865206,0.2697872386819874,0.21022479133149202,0.789775208668508
Global_South,Global South,4745,3378,1160,781,1437,1941,0.7119072708113804,0.3433984606275903,0.23120189461219656,0.42539964476021314,0.5746003552397868,4.267184083536974,3.234789649105163,4.331984232515097,2.317712571162245,0.2976669804685578,0.2358144562488064,0.4665185632826358,0.5334814367173641
India,India,34,32,2,22,8,24,0.9411764705882353,0.0625,0.6875,0.25,0.75,5.061063788371689,5.490562193994464,3.782646140622966,3.9224509648371875,0.06474176467171595,0.6703172570723538,0.2649409782559302,0.7350590217440698
