outlier_rank,iso3c,country,region,region_display,year_from,year_to,gdp_per_capita_previous,gdp_per_capita_const2015_usd,co2_per_capita_previous,co2_per_capita_tons,gdp_change_pct,co2_change_pct,decoupling_classification,abs_co2_change_pct,co2_previous_below_0_1_tons
1,GRL,Greenland,Europe_NorthAmerica,Europe & North America,2003,2004,32787.9680355213,34961.9356097257,0.0246691688252189,10.6137298323315,6.630382132400436,42924.27012247471,Coupled expansion,42924.27012247471,True
2,GNQ,Equatorial Guinea,Global_South,Global South,1993,1994,485.392231712925,545.595470854947,0.145654056522075,2.20253827221534,12.403008373159953,1412.1709101740869,Coupled expansion,1412.1709101740869,False
3,CPV,Cabo Verde,Global_South,Global South,1999,2000,1809.80582624137,2037.31720912714,0.217683905948011,0.618110505452035,12.571038262058721,183.94864689705503,Coupled expansion,183.94864689705503,False
4,HTI,Haiti,Global_South,Global South,1994,1995,1207.6605445003,1302.13491168553,0.0558238252905649,0.148970994688826,7.822924050592439,166.8591661596584,Coupled expansion,166.8591661596584,True
5,LSO,Lesotho,Global_South,Global South,1999,2000,698.441087182066,725.263668707773,0.0658435310103562,0.175057500001248,3.8403498903430533,165.8689431065204,Coupled expansion,165.8689431065204,True
6,BEN,Benin,Global_South,Global South,1995,1996,781.0647884601,793.7950526962,0.0640138961224377,0.168354803877057,1.6298602144385832,162.99727727093685,Coupled expansion,162.99727727093685,True
7,KHM,Cambodia,Global_South,Global South,1994,1995,513.967147967874,520.926883186145,0.0584685061264214,0.149862798781095,1.35412063704623,156.31371264567565,Coupled expansion,156.31371264567565,True
8,MRT,Mauritania,Global_South,Global South,1991,1992,1421.32599916128,1393.6010549879,0.446127803723669,1.09652872060475,-1.9506393459164384,145.7880256402801,"Economic contraction, emissions rising",145.7880256402801,False
9,MDV,Maldives,Global_South,Global South,1993,1994,4803.909904607,5053.64633599107,0.518204537658647,1.08642782531038,5.198607724607207,109.6523180246705,Coupled expansion,109.6523180246705,False
10,TCA,Turks and Caicos Islands,Global_South,Global South,2017,2018,50586.1032335151,51863.1830309332,2.21231177811741,4.56459491325585,2.5245664634868215,106.32692726249186,Coupled expansion,106.32692726249186,False
11,LAO,Lao PDR,Global_South,Global South,2014,2015,2006.31195444447,2121.01339097363,0.654511028510084,1.31255012574164,5.717029013113728,100.53903885004098,Coupled expansion,100.53903885004098,False
12,FSM,"Micronesia, Fed. Sts.",Global_South,Global South,1990,1991,2384.9445815498,2515.5554496917,0.0009911981603362,0.001946396247348,5.476473925319647,96.368024602448,Coupled expansion,96.368024602448,True
13,TLS,Timor-Leste,Global_South,Global South,2003,2004,964.322543048225,955.470489028291,0.287824552448635,0.555176444502806,-0.917955727961417,92.88710423753115,"Economic contraction, emissions rising",92.88710423753115,False
14,BIH,Bosnia and Herzegovina,Europe_NorthAmerica,Europe & North America,1996,1997,1498.00593266831,1974.05742700092,1.13525696175159,2.17093260286191,31.779012616101365,91.22830125722146,Coupled expansion,91.22830125722146,False
15,SYC,Seychelles,Global_South,Global South,1999,2000,11326.9386083063,11703.7535246117,4.92724785474443,9.29977443887047,3.326714563713229,88.74176240019567,Coupled expansion,88.74176240019567,False
16,AFG,Afghanistan,Global_South,Global South,2007,2008,410.757728879097,417.647282647498,0.0796685368947688,0.14737589049906,1.6772791560615063,84.9863148531563,Coupled expansion,84.9863148531563,True
17,VCT,St. Vincent and the Grenadines,Global_South,Global South,1993,1994,4210.24289444354,4150.97674020379,0.246595999467778,0.45076958500859,-1.4076659168042682,82.79679556094779,"Economic contraction, emissions rising",82.79679556094779,False
18,MLI,Mali,Global_South,Global South,1999,2000,707.881746309111,682.49742045713,0.0379606525633906,0.0688623609235515,-3.585955702959498,81.4045762478873,"Economic contraction, emissions rising",81.4045762478873,True
19,TGO,Togo,Global_South,Global South,1993,1994,541.357064850428,620.182624671753,0.0976838006271252,0.177056742459045,14.560733560040173,81.25496891229598,Coupled expansion,81.25496891229598,True
20,TLS,Timor-Leste,Global_South,Global South,1998,1999,865.831372670687,631.07290867098,0.201054608341379,0.363964408641699,-27.113647230821236,81.02763803538822,"Economic contraction, emissions rising",81.02763803538822,False
21,MDV,Maldives,Global_South,Global South,1999,2000,6889.01246088686,7037.08546104613,1.23570717921359,2.22609114988706,2.1494082206987564,80.14714062790789,Coupled expansion,80.14714062790789,False
22,DMA,Dominica,Global_South,Global South,1992,1993,5750.32541372085,5865.47647130041,0.311575910566174,0.5588120922328,2.0025137586960895,79.35022358351314,Coupled expansion,79.35022358351314,False
23,SWZ,Eswatini,Global_South,Global South,1993,1994,1972.80340757512,2020.384816101,0.844625550025841,1.5030703903988,2.41186771794788,77.95701187973938,Coupled expansion,77.95701187973938,False
24,LAO,Lao PDR,Global_South,Global South,2015,2016,2121.01339097363,2234.76098741846,1.31255012574164,2.29721448088974,5.3628891231381814,75.01918104588405,Coupled expansion,75.01918104588405,False
25,BIH,Bosnia and Herzegovina,Europe_NorthAmerica,Europe & North America,1993,1994,748.150021097699,871.398491492583,3.48840127832578,0.885861751666661,16.47376420761868,-74.60550891404843,Absolute decoupling,74.60550891404843,False
26,LAO,Lao PDR,Global_South,Global South,1999,2000,881.634129609675,917.228038617529,0.0989742329965039,0.172061042728584,4.037265324972461,73.84427999018874,Coupled expansion,73.84427999018874,True
27,DMA,Dominica,Global_South,Global South,1998,1999,6639.15946016126,6687.23987711733,0.522249869799201,0.898794830840714,0.7241943388254235,72.10053708319548,Coupled expansion,72.10053708319548,False
28,TCD,Chad,Global_South,Global South,2011,2012,965.286963557057,1016.42152061894,0.05359468136292,0.0915222301903308,5.297342551219519,70.76737441646839,Coupled expansion,70.76737441646839,True
29,BLZ,Belize,Global_South,Global South,1996,1997,4875.65675023061,4915.3403407039,0.513527649660026,0.854465016601823,0.8139127199923379,66.39123855697157,Coupled expansion,66.39123855697157,False
30,KIR,Kiribati,Global_South,Global South,1999,2000,1482.19213280683,1555.58190420161,0.220370497899594,0.365634839131956,4.951434417331679,65.91823434484765,Coupled expansion,65.91823434484765,False
31,TLS,Timor-Leste,Global_South,Global South,2011,2012,1237.48380284894,1269.41625561248,0.333991769102519,0.554064949312045,2.580433997602616,65.89179751372087,Coupled expansion,65.89179751372087,False
32,TGO,Togo,Global_South,Global South,2008,2009,610.405413708475,625.711511370434,0.249512781975665,0.413729525867825,2.5075298020323045,65.81496250086943,Coupled expansion,65.81496250086943,False
33,GNQ,Equatorial Guinea,Global_South,Global South,2003,2004,7082.65489186921,9208.60566707162,4.23488728118491,6.97831022194269,30.016297668872525,64.78148669851203,Coupled expansion,64.78148669851203,False
34,ALB,Albania,Europe_NorthAmerica,Europe & North America,1998,1999,1630.43874131845,1841.80762760566,0.612076598274589,0.992962508098037,12.96392688242225,62.22847122356006,Coupled expansion,62.22847122356006,False
35,COM,Comoros,Global_South,Global South,1999,2000,1185.07043579337,1150.82840106354,0.104775559722069,0.168071929562752,-2.88945143643774,60.41138793110243,"Economic contraction, emissions rising",60.41138793110243,False
36,ABW,Aruba,Global_South,Global South,1996,1997,25779.5979282247,26547.4166076696,2.49093602823382,3.97446147785078,2.978396643666348,59.55694697903753,Coupled expansion,59.55694697903753,False
37,VUT,Vanuatu,Global_South,Global South,2006,2007,2780.97475852227,2791.7418410919,0.371891831810414,0.592020824671451,0.38716937421443554,59.19167188733958,Coupled expansion,59.19167188733958,False
38,MRT,Mauritania,Global_South,Global South,1999,2000,1396.17220086364,1304.64439067179,0.990597624107978,0.404906787641274,-6.555624738498034,-59.12499911294577,"Economic contraction, emissions falling",59.12499911294577,False
39,FJI,Fiji,Global_South,Global South,2009,2010,4164.29314800857,4272.359150902,1.17223796596046,1.86342771844612,2.595062332370035,58.963262797868985,Coupled expansion,58.963262797868985,False
40,PLW,Palau,Global_South,Global South,2008,2009,14045.7297946023,13338.1300928439,73.533589352412,116.190068950772,-5.037827952737183,58.00951643190917,"Economic contraction, emissions rising",58.00951643190917,False
41,BDI,Burundi,Global_South,Global South,2006,2007,255.105582251925,254.311725516331,0.0292923047818543,0.0456757847523743,-0.31118752031459307,55.931003355765554,"Economic contraction, emissions rising",55.931003355765554,True
42,PLW,Palau,Global_South,Global South,2011,2012,14123.1262308557,14609.8376964301,131.081978094922,202.865184351252,3.4462020491683676,54.76207126226671,Coupled expansion,54.76207126226671,False
43,ZWE,Zimbabwe,Global_South,Global South,2010,2011,1056.20884563889,1184.93421020563,0.753832502230367,1.16578931263931,12.187491621401382,54.6483216351225,Coupled expansion,54.6483216351225,False
44,BFA,Burkina Faso,Global_South,Global South,1996,1997,383.973583031147,397.838955257373,0.0481515383623522,0.0744634529586602,3.6110224346088904,54.64397502381828,Coupled expansion,54.64397502381828,True
45,BWA,Botswana,Global_South,Global South,2012,2013,5742.91924452636,6284.97678002618,1.67156956431633,2.57945832216088,9.438710739602696,54.31354920702183,Coupled expansion,54.31354920702183,False
46,LBR,Liberia,Global_South,Global South,2018,2019,665.875439637137,636.699384824869,0.129815079743549,0.20014984968439,-4.381608492448208,54.18073930993845,"Economic contraction, emissions rising",54.18073930993845,False
47,CPV,Cabo Verde,Global_South,Global South,2004,2005,2379.79636224135,2514.16779255327,0.81252477209671,1.25186811374623,5.646341529212373,54.071378096670195,Coupled expansion,54.071378096670195,False
48,HTI,Haiti,Global_South,Global South,1993,1994,1398.25464638175,1207.6605445003,0.120565839184269,0.0558238252905649,-13.630857753603676,-53.69847241286519,"Economic contraction, emissions falling",53.69847241286519,False
49,VUT,Vanuatu,Global_South,Global South,1999,2000,2745.16947292745,2841.73909435642,0.294427843206187,0.450931657012793,3.5178018108291464,53.15523562661391,Coupled expansion,53.15523562661391,False
50,VCT,St. Vincent and the Grenadines,Global_South,Global South,2008,2009,7019.9950843874,6955.82358345268,0.73404906870339,1.12299562022659,-0.9141245850362689,52.98645119327345,"Economic contraction, emissions rising",52.98645119327345,False
