region,year,gdp_pc_region,co2_pc_region,population_region,gdp_pc_region_recalc,co2_pc_region_recalc,population_region_recalc,n_countries_used,_merge
China,1990,917.270661782581,2.12676894074534,1135185000.0,917.270661782581,2.12676894074534,1135185000.0,1,both
China,1991,989.548540519036,2.21606084568727,1150780000.0,989.5485405190361,2.21606084568727,1150780000.0,1,both
China,1992,1117.27329480169,2.2917226194666,1164970000.0,1117.27329480169,2.2917226194666,1164970000.0,1,both
China,1993,1258.34946089635,2.45254862360409,1178440000.0,1258.34946089635,2.45254862360409,1178440000.0,1,both
China,1994,1406.85845705008,2.55649490072032,1191835000.0,1406.85845705008,2.55649490072032,1191835000.0,1,both
China,1995,1545.19429404212,2.79351042241598,1204855000.0,1545.19429404212,2.79351042241598,1204855000.0,1,both
China,1996,1681.62743528935,2.74342450002053,1217550000.0,1681.62743528935,2.74342450002053,1217550000.0,1,both
China,1997,1819.09789302268,2.79439822775034,1230075000.0,1819.09789302268,2.79439822775034,1230075000.0,1,both
China,1998,1944.43719705771,2.83592410230809,1241935000.0,1944.4371970577101,2.83592410230809,1241935000.0,1,both
China,1999,2076.81812919622,2.75219491752047,1252735000.0,2076.81812919622,2.75219491752047,1252735000.0,1,both
China,2000,2237.44298500334,2.88907594771294,1262645000.0,2237.44298500334,2.88907594771294,1262645000.0,1,both
China,2001,2405.89396743215,3.00747564571294,1271850000.0,2405.89396743215,3.00747564571294,1271850000.0,1,both
China,2002,2610.72960252379,3.22795454545455,1280400000.0,2610.72960252379,3.22795454545455,1280400000.0,1,both
China,2003,2857.0373538115,3.7046788264514094,1288400000.0,2857.0373538115,3.7046788264514094,1288400000.0,1,both
China,2004,3127.86276523632,4.24069749050016,1296075000.0,3127.86276523632,4.24069749050016,1296075000.0,1,both
China,2005,3465.81734409951,4.78299420120885,1303720000.0,3465.81734409951,4.78299420120885,1303720000.0,1,both
China,2006,3883.35412942474,5.28052516361306,1311020000.0,3883.35412942474,5.28052516361306,1311020000.0,1,both
China,2007,4409.75700836878,5.7076324565497,1317885000.0,4409.75700836878,5.7076324565497,1317885000.0,1,both
China,2008,4811.47471804961,5.85225866357655,1324655000.0,4811.47471804961,5.85225866357655,1324655000.0,1,both
China,2009,5237.76666540352,6.24909018523805,1331260000.0,5237.76666540352,6.24909018523805,1331260000.0,1,both
China,2010,5764.86534987407,6.80718476794211,1337705000.0,5764.86534987407,6.80718476794211,1337705000.0,1,both
China,2011,6275.90956436258,7.40185065816131,1345035000.0,6275.90956436258,7.40185065816131,1345035000.0,1,both
China,2012,6723.19443752823,7.58441651466929,1354190000.0,6723.19443752823,7.58441651466929,1354190000.0,1,both
China,2013,7198.06876478162,7.893276312314781,1363240000.0,7198.06876478162,7.893276312314781,1363240000.0,1,both
China,2014,7686.57792954381,7.931643316373389,1371860000.0,7686.57792954381,7.931643316373389,1371860000.0,1,both
China,2015,8175.332850773929,7.79057049265868,1379860000.0,8175.332850773929,7.79057049265868,1379860000.0,1,both
China,2016,8679.37704460133,7.763224839493011,1387790000.0,8679.37704460133,7.763224839493011,1387790000.0,1,both
China,2017,9221.51403820573,7.878026521703319,1396215000.0,9221.51403820573,7.878026521703319,1396215000.0,1,both
China,2018,9798.6528523316,8.2177362485386,1402760000.0,9798.6528523316,8.2177362485386,1402760000.0,1,both
China,2019,10356.4804194995,8.39147587098516,1407745000.0,10356.4804194995,8.39147587098516,1407745000.0,1,both
China,2020,10573.6420059282,8.47858302033874,1411100000.0,10573.6420059282,8.47858302033874,1411100000.0,1,both
China,2021,11469.5707134928,8.88715660313235,1412360000.0,11469.5707134928,8.88715660313235,1412360000.0,1,both
China,2022,11830.5983703496,8.86482511020235,1412175000.0,11830.5983703496,8.86482511020235,1412175000.0,1,both
China,2023,12484.157884417502,9.23027553501428,1410710000.0,12484.157884417502,9.23027553501428,1410710000.0,1,both
China,2024,13121.6769905565,9.31508933799393,1408975000.0,13121.6769905565,9.31508933799393,1408975000.0,1,both
DevelopedAsia_Oceania,1990,24693.032322461528,9.118098685945007,200488793.0,24693.032322461528,9.118098685945009,200488793.0,8,both
DevelopedAsia_Oceania,1991,25398.12010747275,9.289577389020977,202226573.0,25398.120107472754,9.289577389020979,202226573.0,8,both
DevelopedAsia_Oceania,1992,25649.38077971635,9.454973124696208,203708395.0,25649.38077971635,9.454973124696208,203708395.0,8,both
DevelopedAsia_Oceania,1993,25827.06469633981,9.561967316151431,205090107.0,25827.06469633981,9.561967316151433,205090107.0,8,both
DevelopedAsia_Oceania,1994,26368.779065050207,9.914344472882224,206495256.0,26368.779065050203,9.914344472882224,206495256.0,8,both
DevelopedAsia_Oceania,1995,27175.581015263306,10.10776604888385,207878179.0,27175.581015263302,10.10776604888385,207878179.0,8,both
DevelopedAsia_Oceania,1996,28036.3219351617,10.294880226163018,209451752.0,28036.3219351617,10.294880226163018,209451752.0,8,both
DevelopedAsia_Oceania,1997,28505.779494585127,10.321480460910845,210753555.0,28505.77949458513,10.321480460910847,210753555.0,8,both
DevelopedAsia_Oceania,1998,28077.830321242673,9.856634774285252,211973300.0,28077.830321242673,9.856634774285252,211973300.0,8,both
DevelopedAsia_Oceania,1999,28546.308981836548,10.23204704862055,213012664.0,28546.308981836548,10.232047048620547,213012664.0,8,both
DevelopedAsia_Oceania,2000,29579.36757319328,10.483474441524896,214150100.0,29579.367573193274,10.483474441524896,214150100.0,8,both
DevelopedAsia_Oceania,2001,29765.724539176095,10.45031253705758,215399577.0,29765.724539176095,10.45031253705758,215399577.0,8,both
DevelopedAsia_Oceania,2002,30173.59952402433,10.68539979895585,216461896.0,30173.59952402433,10.68539979895585,216461896.0,8,both
DevelopedAsia_Oceania,2003,30704.809677393663,10.729602548975596,217337193.0,30704.809677393663,10.729602548975597,217337193.0,8,both
