iso3c,country,region,n_years_in_source,n_valid_regression_observations,enters_main_regression,regression_sample_status
LSO,Lesotho,Global_South,35,35,True,Included
LTU,Lithuania,Europe_NorthAmerica,35,35,True,Included
LUX,Luxembourg,Europe_NorthAmerica,35,35,True,Included
LVA,Latvia,Europe_NorthAmerica,35,35,True,Included
MAC,"Macao SAR, China",DevelopedAsia_Oceania,35,35,True,Included
MAF,St. Martin (French part),Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
MAR,Morocco,Global_South,35,35,True,Included
MCO,Monaco,Europe_NorthAmerica,35,0,False,No usable positive GDP-CO2 economy-year observations
MDA,Moldova,Europe_NorthAmerica,35,35,True,Included
MDG,Madagascar,Global_South,35,35,True,Included
MDV,Maldives,Global_South,35,35,True,Included
MEX,Mexico,Global_South,35,35,True,Included
MHL,Marshall Islands,Global_South,35,35,True,Included
MKD,North Macedonia,Europe_NorthAmerica,35,35,True,Included
MLI,Mali,Global_South,35,35,True,Included
MLT,Malta,Europe_NorthAmerica,35,35,True,Included
MMR,Myanmar,Global_South,35,35,True,Included
MNE,Montenegro,Europe_NorthAmerica,35,0,False,No usable positive GDP-CO2 economy-year observations
MNG,Mongolia,Global_South,35,35,True,Included
MNP,Northern Mariana Islands,Global_South,35,21,True,Included
MOZ,Mozambique,Global_South,35,35,True,Included
MRT,Mauritania,Global_South,35,35,True,Included
MUS,Mauritius,Global_South,35,35,True,Included
MWI,Malawi,Global_South,35,35,True,Included
MYS,Malaysia,Global_South,35,35,True,Included
NAM,Namibia,Global_South,35,35,True,Included
NCL,New Caledonia,Global_South,35,1,False,Fewer than 2 usable observations
NER,Niger,Global_South,35,35,True,Included
NGA,Nigeria,Global_South,35,35,True,Included
NIC,Nicaragua,Global_South,35,35,True,Included
NLD,Netherlands,Europe_NorthAmerica,35,35,True,Included
NOR,Norway,Europe_NorthAmerica,35,35,True,Included
NPL,Nepal,Global_South,35,35,True,Included
NRU,Nauru,Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
NZL,New Zealand,DevelopedAsia_Oceania,35,35,True,Included
OMN,Oman,Global_South,35,35,True,Included
PAK,Pakistan,Global_South,35,35,True,Included
PAN,Panama,Global_South,35,35,True,Included
PER,Peru,Global_South,35,35,True,Included
PHL,Philippines,Global_South,35,35,True,Included
PLW,Palau,Global_South,35,34,True,Included
