model,sample,coefficient_name,beta,std_error,ci95_low,ci95_high,p_value,n_obs,n_countries,n_years,first_year,last_year,overall_r_squared,overall_adjusted_r_squared,aic,bic,country_fixed_effects,year_fixed_effects,population_weighted,first_difference,aic_bic_comparison_group,covariance,notes
Pooled OLS,Main country panel,log_gdp,0.8288991089434854,0.05734983972759147,0.7157971259611369,0.9420010919258339,1.0421168048581721e-32,6725,197,35,1990,2024,0.4113182949523656,0.4112307325984986,24281.556563012793,24295.183737421732,False,False,False,False,levels_main_sample,Country-clustered SE; finite-sample correction; t-based inference,Benchmark only. Mixes between-country and within-country variation.
Country fixed effects,Main country panel,log_gdp,0.6737023075556443,0.07461447380704164,0.5265520280283447,0.820852587082944,1.6355140219102052e-16,6725,197,35,1990,2024,0.9665507371129725,0.9655411607702814,5387.225712084697,6736.315978569764,True,False,False,False,levels_main_sample,Country-clustered SE; finite-sample correction; t-based inference,Controls for time-invariant country characteristics.
Country + year fixed effects,Main country panel,log_gdp,0.653117544289133,0.07504495140252188,0.505118302150786,0.8011167864274801,1.320730970018587e-15,6725,197,35,1990,2024,0.9666674133878816,0.9654815474541993,5431.726849653776,7012.479081090825,True,True,False,False,levels_main_sample,Country-clustered SE; finite-sample correction; t-based inference,MAIN SPECIFICATION. Controls for persistent country heterogeneity and common year-specific shocks.
Balanced-panel country + year fixed effects,Countries observed in every year 1990-2024,log_gdp,0.613027655479201,0.07893497168600673,0.45726484693139735,0.7687904640270047,6.025021688277394e-13,6300,180,35,1990,2024,0.9732786794134898,0.9723389320666511,2578.8994920832756,4029.785048244895,True,True,False,False,balanced_levels_sample,Country-clustered SE; finite-sample correction; t-based inference,Robustness check for changing country coverage.
Population-weighted country + year fixed effects,Main panel observations with positive population,log_gdp,0.7237294844539878,0.07141630660889361,0.5828864422919151,0.8645725266160604,1.1258339446733203e-19,6725,197,35,1990,2024,0.9808726292197084,0.9801921390533374,9970.018848192416,11550.771079629465,True,True,True,False,population_weighted_levels,Country-clustered SE; finite-sample correction; t-based inference,Robustness specification. Population weighting changes the estimand from approximately the average country towards the average person.
