iso3c,country,region,first_difference_year,last_difference_year,n_difference_observations
MNP,Northern Mariana Islands,Global_South,2003,2022,20
MOZ,Mozambique,Global_South,1991,2024,34
MRT,Mauritania,Global_South,1991,2024,34
MUS,Mauritius,Global_South,1991,2024,34
MWI,Malawi,Global_South,1991,2024,34
MYS,Malaysia,Global_South,1991,2024,34
NAM,Namibia,Global_South,1991,2024,34
NER,Niger,Global_South,1991,2024,34
NGA,Nigeria,Global_South,1991,2024,34
NIC,Nicaragua,Global_South,1991,2024,34
NLD,Netherlands,Europe_NorthAmerica,1991,2024,34
NOR,Norway,Europe_NorthAmerica,1991,2024,34
NPL,Nepal,Global_South,1991,2024,34
NZL,New Zealand,DevelopedAsia_Oceania,1991,2024,34
OMN,Oman,Global_South,1991,2024,34
PAK,Pakistan,Global_South,1991,2024,34
PAN,Panama,Global_South,1991,2024,34
PER,Peru,Global_South,1991,2024,34
PHL,Philippines,Global_South,1991,2024,34
PLW,Palau,Global_South,1991,2023,33
PNG,Papua New Guinea,Global_South,1991,2024,34
POL,Poland,Europe_NorthAmerica,1991,2024,34
PRI,Puerto Rico (US),Global_South,1991,2024,34
PRT,Portugal,Europe_NorthAmerica,1991,2024,34
PRY,Paraguay,Global_South,1991,2024,34
PYF,French Polynesia,Global_South,1991,2024,34
QAT,Qatar,Global_South,1991,2024,34
ROU,Romania,Europe_NorthAmerica,1991,2024,34
RUS,Russian Federation,Europe_NorthAmerica,1991,2024,34
RWA,Rwanda,Global_South,1991,2024,34
SAU,Saudi Arabia,Global_South,1991,2024,34
SDN,Sudan,Global_South,1991,2024,34
SEN,Senegal,Global_South,1991,2024,34
SGP,Singapore,DevelopedAsia_Oceania,1991,2024,34
SLB,Solomon Islands,Global_South,1991,2024,34
SLE,Sierra Leone,Global_South,1991,2024,34
SLV,El Salvador,Global_South,1991,2024,34
SOM,"Somalia, Fed. Rep.",Global_South,1991,2024,34
STP,Sao Tome and Principe,Global_South,1991,2024,34
SUR,Suriname,Global_South,1991,2024,34
SVK,Slovak Republic,Europe_NorthAmerica,1991,2024,34
SVN,Slovenia,Europe_NorthAmerica,1991,2024,34
SWE,Sweden,Europe_NorthAmerica,1991,2024,34
SWZ,Eswatini,Global_South,1991,2024,34
SYC,Seychelles,Global_South,1991,2024,34
SYR,Syrian Arab Republic,Global_South,1991,2022,32
TCA,Turks and Caicos Islands,Global_South,2008,2024,17
TCD,Chad,Global_South,1991,2024,34
TGO,Togo,Global_South,1991,2024,34
THA,Thailand,Global_South,1991,2024,34
TJK,Tajikistan,Global_South,1991,2024,34
TKM,Turkmenistan,Global_South,1991,2024,34
TLS,Timor-Leste,Global_South,1991,2024,34
TON,Tonga,Global_South,1991,2023,33
TTO,Trinidad and Tobago,Global_South,1991,2024,34
TUN,Tunisia,Global_South,1991,2024,34
TUR,Turkiye,Global_South,1991,2024,34
TZA,Tanzania,Global_South,1991,2024,34
UGA,Uganda,Global_South,1991,2024,34
UKR,Ukraine,Europe_NorthAmerica,1991,2024,34
URY,Uruguay,Global_South,1991,2024,34
USA,United States,Europe_NorthAmerica,1991,2024,34
UZB,Uzbekistan,Global_South,1991,2024,34
VCT,St. Vincent and the Grenadines,Global_South,1991,2024,34
VEN,"Venezuela, RB",Global_South,1991,2024,34
VIR,Virgin Islands (U.S.),Global_South,2003,2022,20
VNM,Viet Nam,Global_South,1991,2024,34
VUT,Vanuatu,Global_South,1991,2024,34
WSM,Samoa,Global_South,1991,2024,34
YEM,"Yemen, Rep.",Global_South,1991,2018,28
ZAF,South Africa,Global_South,1991,2024,34
ZMB,Zambia,Global_South,1991,2024,34
ZWE,Zimbabwe,Global_South,1991,2024,34
