iso3c,country,region,first_year,last_year,n_years,within_log_gdp_sd,within_log_co2_sd,missing_years,coverage_pct,is_balanced_1990_2024
EST,Estonia,Europe_NorthAmerica,1990,2024,35,0.3828881253469272,0.248171155745267,,100.0,True
ETH,Ethiopia,Global_South,1990,2024,35,0.4885335466248505,0.46893516745333813,,100.0,True
FIN,Finland,Europe_NorthAmerica,1990,2024,35,0.16932457215152322,0.23972120263131247,,100.0,True
FJI,Fiji,Global_South,1990,2024,35,0.15940879847909517,0.16584461892997868,,100.0,True
FRA,France,Europe_NorthAmerica,1990,2024,35,0.10715570751367008,0.16051428007359198,,100.0,True
FRO,Faroe Islands,Europe_NorthAmerica,2008,2024,17,0.11347224544959071,0.025611436970309022,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007",48.57142857142857,False
FSM,"Micronesia, Fed. Sts.",Global_South,1990,2024,35,0.05556349172595467,0.1048769692774631,,100.0,True
GAB,Gabon,Global_South,1990,2024,35,0.10688538238474014,0.32911799540142445,,100.0,True
GBR,United Kingdom,Europe_NorthAmerica,1990,2024,35,0.15116103633304048,0.27461593206938617,,100.0,True
GEO,Georgia,Global_South,1990,2024,35,0.5589949033482325,0.5201181238663362,,100.0,True
GHA,Ghana,Global_South,1990,2024,35,0.31279648978286345,0.42167226438264394,,100.0,True
GIN,Guinea,Global_South,1990,2024,35,0.19997381462883274,0.39161928836050613,,100.0,True
GMB,"Gambia, The",Global_South,1990,2024,35,0.05365901977624562,0.2564369227094666,,100.0,True
GNB,Guinea-Bissau,Global_South,1990,2024,35,0.10230277891244506,0.090702971407876,,100.0,True
GNQ,Equatorial Guinea,Global_South,1990,2024,35,1.1520780259020016,1.095732723457563,,100.0,True
GRC,Greece,Europe_NorthAmerica,1990,2024,35,0.13280548273937934,0.20636025613550082,,100.0,True
GRD,Grenada,Global_South,1990,2024,35,0.23089104477069897,0.35111218574119935,,100.0,True
GRL,Greenland,Europe_NorthAmerica,1990,2023,34,0.24294961003893784,3.042319071907969,2024,97.14285714285714,False
GTM,Guatemala,Global_South,1990,2024,35,0.14629469108234708,0.26258947348285533,,100.0,True
GUM,Guam,Global_South,2002,2022,21,0.06055761593067098,0.1826320566055079,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2023,2024",60.0,False
GUY,Guyana,Global_South,1990,2024,35,0.5805800257575885,0.3198529049878994,,100.0,True
HKG,"Hong Kong SAR, China",DevelopedAsia_Oceania,1990,2024,35,0.24853956588869056,0.13323618649970773,,100.0,True
HND,Honduras,Global_South,1990,2024,35,0.4756209611478502,0.27584040595568476,,100.0,True
HRV,Croatia,Europe_NorthAmerica,1990,2024,35,0.2694600807762929,0.12948078837186872,,100.0,True
HTI,Haiti,Global_South,1990,2024,35,0.0693857223965217,0.36625306390187384,,100.0,True
HUN,Hungary,Europe_NorthAmerica,1990,2024,35,0.2576752579770734,0.11657797513061639,,100.0,True
IDN,Indonesia,Global_South,1990,2024,35,0.3280850845919589,0.3037961516472428,,100.0,True
IND,India,India,1990,2024,35,0.47203913564678285,0.35469806515903,,100.0,True
IRL,Ireland,Europe_NorthAmerica,1990,2024,35,0.4151016841658427,0.18831491950812626,,100.0,True
IRN,"Iran, Islamic Rep.",Global_South,1990,2024,35,0.17598066848479244,0.27682734270429654,,100.0,True
IRQ,Iraq,Global_South,1990,2024,35,0.3482157754471186,0.19644269865111705,,100.0,True
ISL,Iceland,Europe_NorthAmerica,1990,2024,35,0.17269362262626953,0.11057034387030179,,100.0,True
ISR,Israel,DevelopedAsia_Oceania,1990,2024,35,0.186529815072456,0.14139609079433582,,100.0,True
ITA,Italy,Europe_NorthAmerica,1990,2024,35,0.06379338740355925,0.16856426390669796,,100.0,True
JAM,Jamaica,Global_South,1990,2024,35,0.05321456102144255,0.19837927292795873,,100.0,True
JOR,Jordan,Global_South,1990,2024,35,0.1282927531621982,0.15013550503386502,,100.0,True
