model,aic,bic,n_obs,delta_aic_vs_min,delta_bic_vs_min
Pooled OLS,24281.556563012793,24295.183737421732,6725,18894.330850928098,17558.867758851968
Country fixed effects,5387.225712084697,6736.315978569764,6725,0.0,0.0
Country + year fixed effects,5431.726849653776,7012.479081090825,6725,44.50113756907922,276.16310252106086
