Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Colombia,COL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,50.3130312,..,42.4782597,..,41.8909784,..,36.3929484,43.2109474,46.5019858,45.264862,47.3721387,47.6552903,47.8037707,46.498165,48.4497477,50.308668,49.2991597,50.389734,47.3102698,48.7347465,49.1031212,48.4448128,49.1252583,49.905261,49.7272276,50.7221373,51.3712487,50.521407,49.1802654,..
Colombia,COL,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,50.1275979,..,49.505797,..,51.0457233,..,54.1923898,54.5834548,54.3524413,55.7457675,56.4043631,56.9682939,58.5796788,55.7432141,55.7508963,58.3024047,58.3625963,58.5861278,58.9045449,59.7437816,59.1675412,57.5180257,56.5795741,58.5270465,57.3994514,58.5939804,57.8029206,57.01675,55.0740059,..
Colombia,COL,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,41.9979317,..,43.2383312,..,38.8722855,..,43.0749396,43.8729139,47.8045975,47.3314856,47.4503858,49.4009901,49.9302984,48.9970118,50.7518616,50.2483332,49.2600929,48.6401238,49.8831049,50.0884527,50.9612969,50.6762137,49.701606,49.1724423,48.6606218,48.2391764,47.8491027,47.2427231,47.3311328,..
Comoros,COM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,15.90718,..,15.7297047,..,25.8301809,..,35.8741586,25.5851688,23.2898664,20.2045398,20.3786221,20.4124956,18.8546018,19.4722897,19.6364633,18.3457187,20.4194254,21.6300548,25.6459333,23.9131853,25.0229682,26.1499223,25.801886,25.2242139,24.6076926,21.1626478,24.5701015,27.0562994,27.8404845,..
Comoros,COM,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,29.5985642,..,30.0857197,..,33.0192749,..,38.8204403,33.2198543,30.9671781,30.8623896,32.5673559,33.2393588,31.2925709,30.7052195,31.5177537,31.7054367,32.3883456,32.8314184,35.1315271,35.2990354,35.57313,35.5806215,35.2889464,35.7221589,34.7145039,33.8788536,35.1591507,34.5985004,35.1704573,..
Comoros,COM,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,38.6823706,..,39.8890836,..,32.6120574,..,41.1329389,41.3489057,35.7562395,40.3177351,40.3557587,40.3819637,39.1583997,37.181,39.1032033,39.1588592,39.2508418,40.357299,43.0273572,43.8295051,44.2963609,42.7757247,41.2316613,40.071992,38.612015,37.9960336,36.6610836,37.4430915,37.5018196,..
"Congo, Dem. Rep.",COD,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,19.365579,..,11.7878244,..,11.827914,..,9.5500082,9.4199491,16.088933,17.6123972,20.2884758,19.6737433,19.3620363,19.2692455,18.7197886,19.4759277,20.7485057,24.7191457,24.1015706,22.7050622,24.4177362,22.9749957,21.8032194,20.6527595,18.6573441,18.1892974,17.6222884,19.1032577,18.413102,..
"Congo, Dem. Rep.",COD,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,22.4585424,..,14.0771032,..,14.1495445,..,21.5545057,24.0575847,29.8672508,32.4157137,34.0232646,33.979756,33.2404328,32.4121856,31.897345,32.3028645,32.6459433,35.1915862,35.6331923,34.9116451,35.8173189,34.651322,34.4346669,33.3474892,33.2765131,33.9952104,34.2431387,35.0219567,34.5989483,..
"Congo, Dem. Rep.",COD,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,26.7847043,..,21.1307112,..,21.5407579,..,23.0263635,21.7483311,28.1760985,29.2539652,29.1329895,29.4839329,29.6857508,29.165547,29.1451781,28.7762908,28.182074,29.1456204,30.2713691,29.9433623,30.6799615,29.4345692,28.4473323,28.5802161,29.1811037,30.6112254,29.755029,29.3321758,28.9696892,..
"Congo, Rep.",COG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,25.9220111,..,25.8061034,..,25.8461931,..,25.8493819,25.6861766,29.0716099,26.3433825,26.2882081,25.8366383,29.4228992,29.4570117,29.6078546,29.8896101,30.9720606,29.7639123,33.2695369,35.1011694,35.5456286,34.452266,32.3426501,33.0230392,28.522118,28.2100045,29.3419712,28.6504582,29.745211,..
