region,region_display,main_twfe_beta,balanced_twfe_beta,population_weighted_twfe_beta,first_difference_beta,balanced_minus_main,population_weighted_minus_main,first_difference_minus_main
Europe_NorthAmerica,Europe & North America,0.08633166419386278,-0.10006892087219786,-0.08005711172168134,0.744590825407782,-0.18640058506606064,-0.16638877591554413,0.6582591612139193
DevelopedAsia_Oceania,Developed Asia & Oceania,-0.055888510966821014,-0.043405986344142264,0.407919075811985,0.030776627580535246,0.01248252462267875,0.463807586778806,0.08666513854735626
China,China,0.5920008010814353,0.5964778723724898,0.6699706371021553,0.7838828490192621,0.0044770712910545685,0.07796983602072005,0.19188204793782682
India,India,0.6991784533670825,0.7064032352758273,0.8351969782665606,0.5197648682640674,0.0072247819087447596,0.13601852489947808,-0.17941358510301508
Global_South,Global South,0.801321958631356,0.7948910862778074,0.9850502488158257,0.45106988624779554,-0.006430872353548667,0.18372829018446968,-0.3502520723835605
